Participant_ID,Name,Track,Day,State,College,Content_Score,Design_Score,Presentation_Score,Overall_Score,Feedback,Topic
P001,Allison Hill,Engineering Sciences,Day 1,Haryana,BITS Pilani,6.1,8.7,8.4,7.7,The presentation on Machine Learning lacked more comprehensive evidence.,Machine Learning
P002,Noah Rhodes,Physical Sciences,Day 1,Maharashtra,IIT Madras,6.2,8.0,7.8,7.3,"Standard research on Materials Science, could use more better organized perspectives.",Materials Science
P003,Angie Henderson,Life Sciences,Day 4,Punjab,BITS Pilani,8.8,5.8,7.1,7.2,Very informative poster about Genetic Engineering. The results were detailed.,Genetic Engineering
P004,Daniel Wagner,Engineering Sciences,Day 1,West Bengal,IIT Kanpur,9.2,8.0,9.0,8.7,"Standard research on IoT Applications, could use more clearer perspectives.",IoT Applications
P005,Cristian Santos,Physical Sciences,Day 1,Rajasthan,BITS Hyderabad,9.4,6.8,6.0,7.4,Very informative poster about Chemical Synthesis. The results were detailed.,Chemical Synthesis
P006,Connie Lawrence,Engineering Sciences,Day 2,Karnataka,Pune University,7.3,9.2,5.8,7.4,Impressive work on IoT Applications. The analysis was innovative and thorough.,IoT Applications
P007,Abigail Shaffer,Life Sciences,Day 2,Tamil Nadu,Bangalore University,6.3,9.6,8.4,8.1,Impressive work on Biotechnology. The analysis was innovative and thorough.,Biotechnology
P008,Gina Moore,Life Sciences,Day 1,Telangana,Pune University,5.3,9.6,7.8,7.6,"Good presentation on Neuroscience, though the data could be better organized.",Neuroscience
P009,Gabrielle Davis,Physical Sciences,Day 4,Tamil Nadu,BITS Pilani,6.2,7.8,6.3,6.8,"Standard research on Materials Science, could use more better organized perspectives.",Materials Science
P010,Ryan Munoz,Social Sciences,Day 2,Tamil Nadu,Amity University,5.5,5.2,5.5,5.4,"Decent work on Educational Reform, would benefit from more more focused examples.",Educational Reform
P011,Monica Herrera,Engineering Sciences,Day 4,West Bengal,SRM Chennai,7.6,9.9,9.3,8.9,Excellent presentation on Robotics. The research methodology was insightful.,Robotics
P012,Jamie Arnold,Social Sciences,Day 3,Karnataka,BITS Hyderabad,5.8,5.0,8.6,6.5,"Standard research on Educational Reform, could use more more detailed perspectives.",Educational Reform
P013,Lisa Hensley,Engineering Sciences,Day 3,Kerala,Amity University,6.0,6.9,5.8,6.2,The study on Sustainable Architecture needs stronger clarification.,Sustainable Architecture
P014,Michele Williams,Social Sciences,Day 4,Maharashtra,IIT Kanpur,9.4,9.2,6.5,8.4,Fascinating research on Cultural Studies. The conclusions were innovative.,Cultural Studies
P015,Dylan Miller,Engineering Sciences,Day 4,Karnataka,VIT Vellore,5.6,7.4,7.7,6.9,Fascinating research on Machine Learning. The conclusions were rigorous.,Machine Learning
P016,Brian Ramirez,Life Sciences,Day 2,Haryana,BITS Hyderabad,10.0,8.2,7.2,8.5,Interesting approach to Biotechnology. The methodology could be more detailed.,Biotechnology
P017,Holly Wood,Life Sciences,Day 1,Telangana,IIT Bombay,7.8,7.9,5.0,6.9,Interesting approach to Ecology. The methodology could be more detailed.,Ecology
P018,Derek Zuniga,Engineering Sciences,Day 1,Telangana,IIT Madras,6.2,8.3,6.1,6.9,Fascinating research on Sustainable Architecture. The conclusions were insightful.,Sustainable Architecture
P019,Lisa Jackson,Physical Sciences,Day 2,Uttar Pradesh,Anna University,5.5,8.3,6.8,6.9,Excellent presentation on Materials Science. The research methodology was innovative.,Materials Science
P020,Carla Gray,Engineering Sciences,Day 4,Haryana,Delhi University,6.2,6.0,7.2,6.5,Impressive work on Renewable Energy. The analysis was rigorous and thorough.,Renewable Energy
P021,Margaret Hawkins DDS,Life Sciences,Day 1,Uttar Pradesh,VIT Vellore,5.3,10.0,9.2,8.2,The poster about Genetic Engineering needs more more coherent analysis.,Genetic Engineering
P022,Patty Perez,Physical Sciences,Day 4,Uttar Pradesh,NIT Warangal,9.5,5.8,5.0,6.8,Great insights into Climate Modeling. The visual representation was detailed.,Climate Modeling
P023,Ethan Adams,Physical Sciences,Day 4,Tamil Nadu,NIT Warangal,6.1,5.3,8.7,6.7,Impressive work on Astronomical Observations. The analysis was innovative and thorough.,Astronomical Observations
P024,Tommy Walter,Engineering Sciences,Day 4,Rajasthan,Amity University,5.3,7.5,9.3,7.4,Excellent presentation on Machine Learning. The research methodology was comprehensive.,Machine Learning
P025,Matthew Foster,Physical Sciences,Day 1,Punjab,NIT Surathkal,8.0,8.1,7.1,7.7,"Standard research on Chemical Synthesis, could use more more structured perspectives.",Chemical Synthesis
P026,Judy Baker,Social Sciences,Day 2,Kerala,Delhi University,6.3,5.7,8.2,6.7,Excellent presentation on Economic Policy. The research methodology was innovative.,Economic Policy
P027,Justin Baker,Physical Sciences,Day 1,Karnataka,VIT Vellore,7.5,5.7,6.7,6.6,Very informative poster about Materials Science. The results were detailed.,Materials Science
P028,Stephanie Ross,Social Sciences,Day 2,Uttar Pradesh,VIT Vellore,8.1,9.9,8.3,8.8,Fascinating research on Cultural Studies. The conclusions were detailed.,Cultural Studies
P029,Zachary Hicks,Engineering Sciences,Day 2,Gujarat,IIT Kanpur,8.7,5.8,6.4,7.0,Impressive work on Renewable Energy. The analysis was comprehensive and thorough.,Renewable Energy
P030,Anthony Rodriguez,Social Sciences,Day 4,Gujarat,IIT Delhi,8.2,9.1,5.2,7.5,Very informative poster about Urban Development. The results were detailed.,Urban Development
P031,Rebecca Henderson,Life Sciences,Day 4,Rajasthan,Anna University,5.0,5.4,9.4,6.6,The study on Ecology needs stronger clarification.,Ecology
P032,James Ferrell,Social Sciences,Day 2,West Bengal,IIT Kharagpur,6.5,9.5,9.0,8.3,Research on Urban Development requires more more coherent methodology.,Urban Development
P033,Tricia Valencia,Life Sciences,Day 1,Telangana,VIT Vellore,9.9,8.7,9.6,9.4,Very informative poster about Biotechnology. The results were comprehensive.,Biotechnology
P034,Nathan Maldonado,Physical Sciences,Day 1,Tamil Nadu,Delhi University,9.0,9.3,9.1,9.1,Excellent presentation on Climate Modeling. The research methodology was rigorous.,Climate Modeling
P035,Debra Davidson,Engineering Sciences,Day 4,Delhi,NIT Warangal,6.7,9.1,9.4,8.4,Very informative poster about Robotics. The results were rigorous.,Robotics
P036,Jeffrey Chavez,Social Sciences,Day 3,Karnataka,BITS Pilani,8.2,7.0,9.9,8.4,Interesting approach to Cultural Studies. The methodology could be clearer.,Cultural Studies
P037,Sherri Baker,Social Sciences,Day 2,Punjab,BITS Pilani,5.5,7.2,8.6,7.1,Fascinating research on Urban Development. The conclusions were insightful.,Urban Development
P038,Cassandra Gaines,Engineering Sciences,Day 4,Punjab,NIT Warangal,5.2,7.2,7.6,6.7,The poster about IoT Applications needs more better designed analysis.,IoT Applications
P039,Elizabeth Fowler,Physical Sciences,Day 1,Kerala,Delhi University,6.6,9.2,8.6,8.1,Impressive work on Chemical Synthesis. The analysis was rigorous and thorough.,Chemical Synthesis
P040,Brittany Farmer,Social Sciences,Day 4,Haryana,BITS Hyderabad,5.6,7.1,9.7,7.5,"Good presentation on Behavioral Psychology, though the data could be more focused.",Behavioral Psychology
P041,Paula Moreno,Social Sciences,Day 4,Rajasthan,IIT Bombay,6.4,7.1,7.9,7.1,"Decent work on Cultural Studies, would benefit from more better organized examples.",Cultural Studies
